2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
49-3041,Farm equipment mechanics and service technicians,0.75,36880,54.365727584950854
25-4011,Archivists,0.76,7050,54.370882125384455
51-9011,Chemical equipment operators and tenders,0.76,127410,54.46403673483772
49-2092,"Electric motor, power tool, and related repairers",0.76,16570,54.47615173270791
45-4021,Fallers,0.76,4110,54.47915672010962
19-4042,"Environmental science and protection technicians, including health",0.77,39390,54.50795634389397
49-9094,Locksmiths and safe repairers,0.77,15550,54.51932557846738
37-3013,Tree trimmers and pruners,0.77,47870,54.5543252735818
35-3011,Bartenders,0.77,745610,55.099470932120774
13-1023,"Purchasing agents, except wholesale, retail, and farm products",0.77,0,55.099470932120774
35-9021,Dishwashers,0.77,471670,55.44432796564107
45-3031,Hunters and trappers,0.77,0,55.44432796564107
31-9093,Medical equipment preparers,0.78,72760,55.497525747477816
51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",0.78,174430,55.625058582631524
15-1299,Computer operators,0.78,439380,55.94630708982543
51-8092,Gas plant operators,0.78,15910,55.95793953497418
43-5053,"Postal service mail sorters, processors, and processing machine operators",0.79,111930,56.03977608968813
53-3032,Heavy and tractor-trailer truck drivers,0.79,2070480,57.55358784528658
39-5093,Shampooers,0.79,8890,57.560087684216334
47-2081,Drywall and ceiling tile installers,0.79,82900,57.62069923059162
49-9098,"Helpers–installation, maintenance, and repair workers",0.79,97540,57.69201467369712
49-3052,Motorcycle mechanics,0.79,14010,57.7022579519205
51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",0.79,32890,57.72630516253911
45-4022,Logging equipment operators,0.79,22520,57.74277044630717
47-2042,"Floor layers, except carpet, wood, and hard tiles",0.79,24850,57.760939287410004
39-5011,Barbers,0.8,18100,57.77417293022536
47-5011,"Derrick operators, oil and gas",0.8,11040,57.78224472120223
35-2011,"Cooks, fast food",0.81,668230,58.27081472885436
43-9022,Word processors and typists,0.81,36030,58.297157720602264
17-3012,Electrical and electronics drafters,0.81,20020,58.31179515315272
17-3024,Electro-mechanical technicians,0.81,14680,58.322528295502416
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",0.81,13890,58.332683836867346
11-9141,"Property, real estate, and community association managers",0.81,296640,58.54956935094173
43-6013,Medical secretaries,0.81,830760,59.156971621951826
51-6021,"Pressers, textile, garment, and related materials",0.81,26830,59.176588121219
51-2031,Engine and other machine assemblers,0.82,38420,59.204678538730924
49-2098,Security and fire alarm systems installers,0.82,81510,59.26427379982924
49-9045,"Refractory materials repairers, except brickmasons",0.82,1100,59.26507805436497
39-2021,Nonfarm animal caretakers,0.82,277300,59.46782331142008
47-2211,Sheet metal workers,0.82,117470,59.5537103844322
47-2072,Pile-driver operators,0.82,3040,59.5559330515128
47-2021,Brickmasons and blockmasons,0.82,53520,59.59506369037897
45-3031,Fishers and related fishing workers,0.83,0,59.59506369037897
47-2221,Structural iron and steel workers,0.83,64720,59.64238310269994
53-4022,"Railroad brake, signal, and switch operators",0.83,12460,59.65149311316841
53-4031,Railroad conductors and yardmasters,0.83,42710,59.68272012336973
35-2012,"Cooks, institution and cafeteria",0.83,448260,60.01046115808851
53-5011,Sailors and marine oilers,0.83,31360,60.033389723761964
51-9023,"Mixing and blending machine setters, operators, and tenders",0.83,100840,60.107117930474686
47-3011,"Helpers–brickmasons, blockmasons, stonemasons, and tile and marble setters",0.83,15660,60.11856759050167
47-4091,Segmental pavers,0.83,0,60.11856759050167
47-2131,"Insulation workers, floor, ceiling, and wall",0.83,38610,60.14679692470612
51-5112,Printing press operators,0.83,145110,60.25289272077994
53-6031,Automotive and watercraft service attendants,0.83,98270,60.32474189644097
47-4071,Septic tank servicers and sewer pipe cleaners,0.83,29050,60.345981527589366
39-6011,Baggage porters and bellhops,0.83,31220,60.36880773359463
41-2012,Gaming change persons and booth cashiers,0.83,21930,60.38484164447533
51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",0.83,22350,60.401182634360595
47-2071,"Paving, surfacing, and tamping equipment operators",0.83,45680,60.43458113180839
51-4111,Tool and die makers,0.84,55130,60.474888906858695
17-3023,Electrical and electronics engineering technicians,0.84,92710,60.542672941411816
47-2161,Plasterers and stucco masons,0.84,20880,60.557939154781124
51-4192,"Layout workers, metal and plastic",0.84,5610,60.5620408529134
51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",0.84,18970,60.57591058795248
33-9032,Security guards,0.84,1241770,61.483818910539256
51-6052,"Tailors, dressmakers, and custom sewers",0.84,16290,61.49572918907308
53-7073,Wellhead pumpers,0.84,17350,61.50841447652316
43-9081,Proofreaders and copy markers,0.84,5160,61.51218716143626
33-3041,Parking enforcement workers,0.84,7770,61.51786812302053
53-7062,"Labourers and freight, stock, and material movers, hand",0.85,2982530,63.69851655982023
41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",0.85,1266860,64.62476919722675
43-5041,"Meter readers, utilities",0.85,19620,64.6391141735824
51-8013,Power plant operators,0.85,30720,64.66157480934415
51-8091,Chemical plant and system operators,0.85,17840,64.67461835563287
47-5023,"Earth drillers, except oil and gas",0.85,17410,64.68734751151217
47-5032,"Earth drillers, except oil and gas",0.85,5680,64.69150038947853
19-4051,Nuclear technicians,0.85,5990,64.69587992099588
43-6011,Executive secretaries and executive administrative assistants,0.86,472770,65.04154120905193
51-8099,"Plant and system operators, all other",0.86,15950,65.05320289982015
35-3041,"Food servers, nonrestaurant",0.86,271780,65.2519122613868
51-7041,"Sawing machine setters, operators, and tenders, wood",0.86,43140,65.28345366199756
53-4041,Subway and streetcar operators,0.86,9200,65.29018015447828
31-9096,Veterinary assistants and laboratory animal caretakers,0.86,114190,65.37366908669293
51-9032,"Cutting and slicing machine setters, operators, and tenders",0.86,47540,65.40842750544662
41-9022,Real estate sales agents,0.86,190600,65.54778288227571
51-9161,"Computer-controlled machine tool operators, metal and plastic",0.86,176950,65.67715819145674
49-9043,"Maintenance workers, machinery",0.86,56540,65.71849687459375
43-4021,Correspondence clerks,0.86,6260,65.7230738140426
,Miscellaneous agricultural workers,0.87,0,65.7230738140426
45-4011,Forest and conservation workers,0.87,5630,65.72719013498461
51-4052,"Pourers and casters, metal",0.87,5830,65.73145268402403
47-2041,Carpet Installers,0.87,14980,65.74240516851984
47-2142,Paperhangers,0.87,1520,65.74351650206015
13-1021,"Buyers and purchasing agents, farm products",0.87,0,65.74351650206015
51-7021,Furniture Finishers,0.87,14230,65.75392063119065
35-2021,Food preparation workers,0.87,888770,66.4037363618537
47-2043,Floor sanders and finishers,0.87,4140,66.40676328347004
53-6021,Parking lot attendants,0.87,134650,66.50521135004944
47-4051,Highway maintenance workers,0.87,151750,66.61616191895718
47-2061,Construction labourers,0.88,1057660,67.38945996647575
43-5061,"Production, planning, and expediting clerks",0.88,385000,67.67094905398463
51-9141,Semiconductor Processors,0.88,32150,67.69445522064285
17-1021,Cartographers and photogrammetrists,0.88,12790,67.70380650747204
51-4051,Metal-refining furnace operators and tenders,0.88,20330,67.71867059357348
51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",0.88,54200,67.75829840797084
51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0.88,14900,67.76919240122767
47-2053,Terrazzo workers and finishers,0.88,1450,67.77025255493388
51-4194,"Tool grinders, filers, and sharpeners",0.88,5730,67.7744419899246
49-3043,Rail car repairers,0.88,18300,67.78782186083735
51-3011,Bakers,0.89,231890,67.95736602837614
31-9094,Medical transcriptionists,0.89,43070,67.98885624915279
47-2022,Stonemasons,0.89,8750,67.99525372841437
53-3051,"Bus drivers, school or special client",0.89,387920,68.2788777461454
53-3053,"Bus drivers, school or special client",0.89,229630,68.44676953618348
27-3042,Technical writers,0.89,55530,68.48736976742859
49-9096,Riggers,0.89,24190,68.50505605581
47-4061,Rail-track laying and maintenance equipment operators,0.89,16480,68.51710525103636
51-8021,Stationary engineers and boiler operators,0.89,30780,68.53960975522733
51-6031,Sewing machine operators,0.89,109590,68.61973544120161
53-3053,Taxi drivers and chauffeurs,0.89,229630,68.7876272312397
53-3054,Taxi drivers and chauffeurs,0.89,17510,68.8004295011677
43-4161,"Human resources assistants, except payroll and timekeeping",0.9,92580,68.86811848745751
29-2011,Medical and clinical laboratory technologists,0.9,0,68.86811848745751
47-2171,Reinforcing iron and rebar workers,0.9,14140,68.87845681394418
47-2181,Roofers,0.9,136740,68.97843296414152
53-7021,Crane and tower operators,0.9,42000,69.00914086459701
53-6041,Traffic technicians,0.9,7580,69.01468290948876
53-6051,Transportation inspectors,0.9,23320,69.03173310564644
51-4062,"Patternmakers, metal and plastic",0.9,1570,69.03288099621109
51-9195,"Molders, shapers, and casters, except metal and plastic",0.9,34750,69.05828812813559
13-2022,Appraisers and assessors of real estate,0.9,0,69.05828812813559
13-2023,Appraisers and assessors of real estate,0.9,0,69.05828812813559
53-7072,"Pump operators, except wellhead pumpers",0.9,12600,69.06750049827224
49-9097,Signal and track switch repairers,0.9,8210,69.07350316167081
39-3012,Gaming and sports book writers and runners,0.91,7600,69.07905982937228
49-9063,Musical instrument repairers and tuners,0.91,5730,69.083249264363
39-7011,Tour guides and escorts,0.91,0,69.083249264363
49-9011,Mechanical door repairers,0.91,27970,69.1036992637854
51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",0.91,19500,69.1179565032826
53-7071,Gas compressor and gas pumping station operators,0.91,5110,69.12169263117136
29-2072,Medical records and health information technicians,0.91,187910,69.2590812400903
29-9021,Medical records and health information technicians,0.91,37620,69.2865867452126
51-9124,"Coating, painting, and spraying machine setters, operators, and tenders",0.91,159500,69.40320365289485
51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",0.91,129850,69.49814224513648
53-4013,"Rail yard engineers, dinkey operators, and hostlers",0.91,3300,69.50055500874372
49-2093,"Electrical and electronics installers and repairers, transportation equipment",0.91,7310,69.50589964570393
35-9011,Dining room and cafeteria attendants and bartender helpers,0.91,522010,69.88756229134164
51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",0.91,14590,69.8982296310475
19-4043,Geological and petroleum technicians,0.91,9710,69.90532900517663
19-4044,Geological and petroleum technicians,0.91,2940,69.9074785582085
49-3021,Automotive body and related repairers,0.91,155220,70.02096618460625
51-7032,"Patternmakers, wood",0.91,180,70.02109778989391
51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",0.91,65700,70.06913371989218
43-9071,"Office machine operators, except computer",0.92,24740,70.08722213554147
29-2052,Pharmacy technicians,0.92,487920,70.4439602019761
43-4131,Loan interviewers and clerks,0.92,173100,70.57052062028204
53-7031,Dredge operators,0.92,1030,70.57127369498369
41-3021,Insurance sales agents,0.92,469480,70.91452953083738
51-7011,Cabinetmakers and bench carpenters,0.92,79540,70.97268444517624
51-9123,"Painting, coating, and decorating workers",0.92,8470,70.97887720510143
47-4031,Fence erectors,0.92,22640,70.99543022572793
51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic",0.92,31510,71.01846846247443
41-2031,Retail salespersons,0.92,3800250,73.79698509833328
35-3023,"Combined food preparation and serving workers, including fast food",0.92,3780930,76.56137609998258
,"Production workers, all other",0.92,0,76.56137609998258
47-3012,Helpers–carpenters,0.92,24610,76.57936946736854
51-9193,Cooling and freezing equipment operators and tenders,0.93,6590,76.5841876831781
51-2051,Fiberglass laminators and fabricators,0.93,18520,76.59772840499802
47-5013,"Service unit operators, oil, gas, and mining",0.93,44120,76.62998632328605
53-7011,Conveyor operators and tenders,0.93,26060,76.64903984437821
49-3053,Outdoor power equipment and other small engine mechanics,0.93,34240,76.67407409465432
53-4022,Locomotive firers,0.93,12460,76.68318410512279
53-7063,Machine feeders and offbearers,0.93,46690,76.7173210544625
51-4061,"Model makers, metal and plastic",0.93,3230,76.71968263823562
49-2021,"Radio, cellular, and tower equipment installers and repairs",0.93,11400,76.72801763978785
51-3021,Butchers and meat cutters,0.93,140040,76.83040655359238
51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",0.93,57310,76.87230821490442
53-7081,Refuse and recyclable material collectors,0.93,139180,76.9740683478901
13-2081,"Tax examiners and collectors, and revenue agents",0.93,53530,77.01320629816114
51-4022,"Forging machine setters, operators, and tenders, Metal and Plastic",0.93,8760,77.01961108882757
53-7051,Industrial truck and tractor operators,0.93,805770,77.60874215906664
13-2011,Accountants and auditors,0.94,1448290,78.66764561503611
51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",0.94,5310,78.67152797102227
43-9051,"Mail clerks and mail machine operators, except postal service",0.94,62730,78.71739241377405
35-3031,Waiters and waitresses,0.94,2302690,80.40098230186715
51-3022,"Meat, poultry, and fish cutters and trimmers",0.94,141090,80.50413891318307
13-2031,Budget analysts,0.94,47170,80.53862680995655
47-2051,Cement masons and concrete finishers,0.94,205230,80.68867877211096
49-3091,Bicycle repairers,0.94,12590,80.69788383084276
49-9091,"Coin, vending, and amusement machine servicers and repairers",0.94,28260,80.71854586100639
51-4121,"Welders, cutters, solderers, and brazers",0.94,424040,81.02857867312918
43-5021,Couriers and messengers,0.94,71920,81.0811622969568
43-4111,"Interviewers, except eligibility and loan",0.94,157310,81.19617800697245
35-2015,"Cooks, short order",0.94,150420,81.30615615903241
47-5022,Excavating and loading machine and dragline operators,0.94,34210,81.33116847509392
53-7199,Excavating and loading machine and dragline operators,0.94,25190,81.34958590396236
47-3014,"Helpers–painters, paperhangers, plasterers, and stucco masons",0.94,7220,81.35486473827875
43-4081,"Hotel, motel, and resort desk clerks",0.94,261430,81.5460067958046
51-9197,Tire builders,0.94,20970,81.56133881181773
41-9091,"Door-to-door sales workers, news and street vendors, and related workers",0.94,4590,81.56469474665325
37-1011,First-line Supervisors of housekeeping and janitorial workers,0.94,174660,81.69239574411897
45-2011,Agricultural inspectors,0.94,12090,81.70123523260723
23-2011,Paralegals and legal assistants,0.94,367220,81.96972464225661
39-5092,Manicurists and pedicurists,0.95,147820,82.07780182905029
43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",0.95,49720,82.11415413406571
51-6062,"Textile cutting machine setters, operators, and tenders",0.95,8960,82.12070515282957
43-3011,Bill and account collectors,0.95,165020,82.24135795600026
51-8011,Nuclear power reactor operators,0.95,5720,82.24554007958609
33-9031,Gaming surveillance officers and gaming investigators,0.95,10000,82.25285148445647
43-4121,"Library assistants, clerical",0.95,80070,82.31139390325343
47-2073,Operating engineers and other construction equipment operators,0.95,469270,82.65449619960486
51-5113,Print binding and finishing workers,0.95,36470,82.68116089316707
45-2021,Animal breeders,0.95,1730,82.68242576620965
51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",0.95,154820,82.79562093641256
51-2022,Electrical and electronic equipment assemblers,0.95,0,82.79562093641256
51-9191,Adhesive bonding machine operators and tenders,0.95,12170,82.80451891613978
37-3011,Landscaping and groundskeeping workers,0.95,943430,83.49429878582424
51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",0.95,70110,83.54555904537034
43-5051,Postal service clerks,0.95,78060,83.60263187178838
51-9071,Jewelers and precious stone and metal workers,0.95,23420,83.61975518199476
43-5032,"Dispatchers, except police, fire, and ambulance",0.96,211000,83.77402582475936
43-4171,Receptionists and information clerks,0.96,964530,84.47923275872029
43-9061,"Office clerks, general",0.96,2510550,86.31479750844869
11-3111,Compensation and benefits managers,0.96,20070,86.32947149802351
43-2011,"Switchboard operators, including answering service",0.96,35730,86.35559514762531
35-3023,"Counter attendants, cafeteria, food concession, and Coffee Shop",0.96,3780930,89.11998614927461
47-5051,"Rock splitters, quarry",0.96,3080,89.12223806197468
43-6014,"Secretaries and administrative assistants, except legal, medical, and executive",0.96,1737820,90.39282862315572
17-3031,Surveying and mapping technicians,0.96,56720,90.4342989115804
51-7031,"Model makers, wood",0.96,360,90.43456212215574
51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",0.96,20600,90.44962361618867
53-4011,Locomotive engineers,0.96,31990,90.47301280036896
39-3011,Gaming dealers,0.96,82980,90.53368283798322
49-9099,"Fabric menders, except garment",0.96,183690,90.66798603404688
35-2014,"Cooks, restaurant",0.96,1452130,91.72969706948658
39-3031,"Ushers, lobby attendants, and ticket takers",0.96,119210,91.81685632694614
43-3021,Billing and posting clerks,0.96,417500,92.1221074802837
53-6011,Bridge and lock tenders,0.97,2720,92.12409618240844
51-7042,"Woodworking machine setters, operators, and tenders, except sawing",0.97,63350,92.17041393226218
51-2092,Team assemblers,0.97,0,92.17041393226218
51-6042,Shoe machine operators and tenders,0.97,3270,92.17280476165477
51-2023,Electromechanical equipment assemblers,0.97,0,92.17280476165477
13-1074,Farm labour contractors,0.97,410,92.17310452925447
51-6061,Textile bleaching and dyeing machine operators and tenders,0.97,5820,92.17735976688901
51-9081,Dental laboratory technicians,0.97,33920,92.20216005220928
51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",0.97,28550,92.22303411311415
51-9022,"Grinding and polishing workers, hand",0.97,11850,92.23169812788554
37-3012,"Pesticide handlers, sprayers, and applicators, vegetation",0.97,25200,92.25012286815884
45-4023,Log graders and scalers,0.97,3310,92.25254294317094
51-9083,Ophthalmic laboratory technicians,0.97,18740,92.266244515898
41-2011,Cashiers,0.97,3148030,94.56789670330217
49-9061,Camera and photographic equipment repairers,0.97,2010,94.5693662956811
39-3021,Motion picture projectionists,0.97,1950,94.57079201963083
51-5111,Prepress technicians and workers,0.97,23070,94.58765943066675
41-2021,Counter and rental clerks,0.97,398620,94.87910665160906
43-4071,File clerks,0.97,78980,94.93685212727519
41-9021,Real estate brokers,0.97,49590,94.9731093840273
43-2021,Telephone operators,0.97,3950,94.9759973889511
19-4012,Agricultural and food science technicians,0.97,14340,94.9864819435352
19-4013,Agricultural and food science technicians,0.97,14200,94.9968641384511
43-3051,Payroll and timekeeping clerks,0.97,156950,95.11161663789142
43-4041,"Credit authorizers, checkers, and clerks",0.97,11960,95.12036107811636
35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop",0.97,427150,95.43266773715382
41-9012,Models,0.98,5350,95.43657933875946
51-9061,"Inspectors, testers, sorters, samplers, and weighers",0.98,591180,95.86881497188546
43-3031,"Bookkeeping, accounting, and auditing clerks",0.98,1455770,96.93318735869796
43-6012,Legal secretaries,0.98,154540,97.04617780956451
43-2099,Radio operators,0.98,1390,97.04719409484149
53-3031,Driver/sales workers,0.98,417420,97.35238675694009
13-1031,"Claims adjusters, examiners, and investigators",0.98,305020,97.57539922829584
41-2022,Parts salespersons,0.98,265060,97.76919532578962
13-2041,Credit analysts,0.98,67370,97.81845226040124
51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",0.98,13810,97.82854931052721
43-5071,"Shipping, receiving, and traffic clerks",0.98,857630,98.45559732642396
43-3061,Procurement clerks,0.98,59900,98.49939264159741
51-9111,Packaging and filling machine operators and tenders,0.98,383860,98.78004822895109
51-9194,Etchers and engravers,0.98,8390,98.78618249763733
43-3071,Tellers,0.98,339340,99.03428771050814
27-2023,"Umpires, referees, and other sports officials",0.98,15080,99.04531330905264
13-1032,"Insurance appraisers, auto damage",0.98,7790,99.05100889344666
13-2072,Loan officers,0.98,290530,99.26342713914525
43-4151,Order clerks,0.98,83420,99.3244188785738
43-4011,Brokerage clerks,0.98,40090,99.35373030069907
43-9041,Insurance claims and policy processing clerks,0.98,229070,99.52121265206443
51-2061,Timing device assemblers and adjusters,0.98,230,99.52138081437644
43-9021,Data entry keyers,0.99,135280,99.62028949946269
25-4031,Library technicians,0.99,73770,99.67422573319134
43-4141,New accounts clerks,0.99,38030,99.70203100591331
51-9151,Photographic process workers and processing machine operators,0.99,5550,99.70608883561637
13-2082,Tax preparers,0.99,73570,99.75987884124761
43-5011,Cargo and freight agents,0.99,97800,99.83138438087974
49-9064,Watch repairers,0.99,1300,99.83233486351288
13-2053,Insurance underwriters,0.99,107820,99.91116643082512
15-2099,Mathematical technicians,0.99,4660,99.9145735454947
51-6051,"Sewers, hand",0.99,2240,99.91621130018567
23-2093,"Title examiners, abstractors, and searchers",0.99,48170,99.95143033744618
41-9041,Telemarketers,0.99,66430,100.0
