2018 SOC Code,2018 SOC Title,2018 Census Code,2018 Census Title ,occ2018,total_lf,native,foreign
25-4012,Curators,2400,"Archivists, curators, and museum technicians",2400,105468.318,105468.318,0.0
25-4013,Museum Technicians and Conservators,2400,"Archivists, curators, and museum technicians",2400,105468.318,105468.318,0.0
25-4022,Librarians and Media Collections Specialists,2435,Librarians and media collections specialists,2435,189765.1242,185419.6575,4345.4667
25-4031,Library Technicians,2440,Library technicians,2440,25717.5936,25717.5936,0.0
25-9021,Farm and Home Management Educators,2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9031,Instructional Coordinators,2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9043,"Teaching Assistants, Special Education",2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9044,"Teaching Assistants, Postsecondary",2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9049,"Teaching Assistants, All Other",2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
25-9099,"Educational Instruction and Library Workers, All Other",2555,Other educational instruction and library workers,2555,162438.9589,143512.1165,18926.8424
27-1011,Art Directors,2600,Artists and related workers,2600,330383.0476,299502.5011,30880.5465
27-1012,Craft Artists,2600,Artists and related workers,2600,330383.0476,299502.5011,30880.5465
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",2600,Artists and related workers,2600,330383.0476,299502.5011,30880.5465
27-1014,Special Effects Artists and Animators,2600,Artists and related workers,2600,330383.0476,299502.5011,30880.5465
27-1019,"Artists and Related Workers, All Other",2600,Artists and related workers,2600,330383.0476,299502.5011,30880.5465
27-1021,Commercial and Industrial Designers,2631,Commercial and industrial designers,2631,14109.9399,1817.434,12292.5059
27-1022,Fashion Designers,2632,Fashion designers,2632,61734.9157,56659.4513,5075.4644
27-1023,Floral Designers,2633,Floral designers,2633,34715.4935,29425.9986,5289.4949
27-1024,Graphic Designers,2634,Graphic designers,2634,335071.9502,295300.9952,39770.955
27-1025,Interior Designers,2635,Interior designers,2635,135498.95870000002,121983.4927,13515.466
27-1026,Merchandise Displayers and Window Trimmers,2636,Merchandise displayers and window trimmers,2636,43350.0821,38021.705799999996,5328.3763
27-1027,Set and Exhibit Designers,2640,Other designers,2640,337536.8888,288540.6682,48996.2206
27-1029,"Designers, All Other",2640,Other designers,2640,337536.8888,288540.6682,48996.2206
27-2011,Actors,2700,Actors,2700,59055.6737,51022.1622,8033.5115000000005
27-2012,Producers and Directors,2710,Producers and directors,2710,273063.11010000005,228604.18920000002,44458.9209
27-2021,Athletes and Sports Competitors,2721,Athletes and sports competitors,2721,46581.534199999995,37772.3981,8809.1361
27-2022,Coaches and Scouts,2722,Coaches and scouts,2722,363482.2496,347513.8075,15968.4421
27-2023,"Umpires, Referees, and Other Sports Officials",2723,"Umpires, referees, and other sports officials",2723,25506.0307,25506.0307,0.0
27-2031,Dancers,2740,Dancers and choreographers,2740,23523.1051,20280.3664,3242.7387
27-2032,Choreographers,2740,Dancers and choreographers,2740,23523.1051,20280.3664,3242.7387
27-2041,Music Directors and Composers,2751,Music directors and composers,2751,65156.935900000004,49202.142100000005,15954.793800000001
27-2042,Musicians and Singers,2752,Musicians and singers,2752,170054.247,149093.8871,20960.3599
27-2091,"Disc Jockeys, Except Radio",2755,"Disc jockeys, except radio ",2755,26499.2591,26499.2591,0.0
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",2770,"Entertainers and performers, sports and related workers, all other",2770,84105.2641,84105.2641,0.0
27-3011,Broadcast Announcers and Radio Disc Jockeys,2805,Broadcast announcers and radio disc jockeys,2805,7789.8971,7789.8971,0.0
27-3023,"News Analysts, Reporters, and Journalists",2810,"News analysts, reporters, and journalists",2810,96290.3187,95369.587,920.7317
27-3031,Public Relations Specialists,2825,Public relations specialists,2825,114638.367,110312.9835,4325.3835
27-3041,Editors,2830,Editors,2830,99545.2938,93207.6844,6337.6094
27-3042,Technical Writers,2840,Technical writers,2840,36758.2283,36758.2283,0.0
27-3043,Writers and Authors,2850,Writers and authors,2850,247845.3803,214001.7645,33843.6158
27-3091,Interpreters and Translators,2861,Interpreters and translators,2861,98071.3432,48135.9638,49935.3794
27-3092,Court Reporters and Simultaneous Captioners,2862,Court reporters and simultaneous captioners,2862,30125.8871,30125.8871,0.0
27-3099,"Media and Communication Workers, All Other",2865,"Media and communication workers, all other",2865,10319.6257,10319.6257,0.0
27-4011,Audio and Video Technicians,2905,"Broadcast, sound, and lighting technicians",2905,101683.7061,101683.7061,0.0
27-4012,Broadcast Technicians,2905,"Broadcast, sound, and lighting technicians",2905,101683.7061,101683.7061,0.0
27-4014,Sound Engineering Technicians,2905,"Broadcast, sound, and lighting technicians",2905,101683.7061,101683.7061,0.0
27-4015,Lighting Technicians,2905,"Broadcast, sound, and lighting technicians",2905,101683.7061,101683.7061,0.0
27-4021,Photographers,2910,Photographers,2910,233732.4333,206675.3517,27057.0816
27-4031,"Camera Operators, Television, Video, and Film",2920,"Television, video, and film camera operators and editors",2920,119196.9951,110367.5155,8829.4796
27-4032,Film and Video Editors,2920,"Television, video, and film camera operators and editors",2920,119196.9951,110367.5155,8829.4796
27-4099,"Media and Communication Equipment Workers, All Other",2970,"Media and communication equipment workers, all other",,,,
29-1011,Chiropractors,3000,Chiropractors,3000,73861.3288,73861.3288,0.0
29-1021,"Dentists, General",3010,Dentists,3010,211905.5118,153603.8604,58301.6514
29-1022,Oral and Maxillofacial Surgeons,3010,Dentists,3010,211905.5118,153603.8604,58301.6514
29-1023,Orthodontists,3010,Dentists,3010,211905.5118,153603.8604,58301.6514
29-1024,Prosthodontists,3010,Dentists,3010,211905.5118,153603.8604,58301.6514
29-1029,"Dentists, All Other Specialists",3010,Dentists,3010,211905.5118,153603.8604,58301.6514
29-1031,Dietitians and Nutritionists,3030,Dietitians and nutritionists,3030,147992.9265,127217.8466,20775.0799
29-1041,Optometrists,3040,Optometrists,3040,61537.4234,49284.9366,12252.486799999999
29-1051,Pharmacists,3050,Pharmacists,3050,353213.14,290417.9852,62795.154800000004
29-1071,Physician Assistants,3110,Physician assistants,3110,159190.6568,125890.60339999999,33300.0534
29-1081,Podiatrists,3120,Podiatrists,3120,5896.3688,5896.3688,0.0
29-1122,Occupational Therapists,3150,Occupational therapists,3150,136167.9238,130647.3115,5520.6123
29-1123,Physical Therapists,3160,Physical therapists,3160,337416.3354,286208.9585,51207.3769
29-1124,Radiation Therapists,3200,Radiation therapists,3200,10534.5531,9486.2158,1048.3373
29-1125,Recreational Therapists,3210,Recreational therapists,3210,25869.767,25869.767,0.0
29-1126,Respiratory Therapists,3220,Respiratory therapists,3220,116442.4216,75091.4054,41351.0162
29-1127,Speech-Language Pathologists,3230,Speech-language pathologists,3230,226519.7284,201936.9288,24582.7996
29-1128,Exercise Physiologists,3235,Exercise physiologists,,,,
29-1129,"Therapists, All Other",3245,"Therapists, all other",3245,257229.3906,233651.9694,23577.4212
29-1131,Veterinarians,3250,Veterinarians,3250,73320.2433,52097.2464,21222.9969
29-1141,Registered Nurses,3255,Registered nurses,3255,3720583.5537,3003812.1087,716771.445
29-1151,Nurse Anesthetists,3256,Nurse anesthetists,3256,20871.347400000002,20871.347400000002,0.0
29-1161,Nurse Midwives,3257,Nurse midwives,,,,
29-1171,Nurse Practitioners,3258,Nurse practitioners,3258,286776.94680000003,263949.97010000004,22826.9767
29-1181,Audiologists,3140,Audiologists,3140,12755.373,12755.373,0.0
29-1211,Anesthesiologists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1212,Cardiologists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1213,Dermatologists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1214,Emergency Medicine Physicians,3065,Emergency medicine physicians,,,,
29-1215,Family Medicine Physicians,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1216,General Internal Medicine Physicians,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1217,Neurologists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1218,Obstetricians and Gynecologists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1221,"Pediatricians, General",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1222,"Physicians, Pathologists",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1223,Psychiatrists,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1224,Radiologists,3070,Radiologists,,,,
29-1229,"Physicians, All Other",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1241,"Ophthalmologists, Except Pediatric",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1242,"Orthopedic Surgeons, Except Pediatric",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1243,Pediatric Surgeons,3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1249,"Surgeons, All Other",3090,Other physicians,3090,885507.1714999999,683187.4157,202319.75579999998
29-1291,Acupuncturists,3261,Acupuncturists,3261,19834.7451,14696.827000000001,5137.9181
29-1292,Dental Hygienists,3310,Dental hygienists,3310,237521.5778,211142.061,26379.5168
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",3270,"Healthcare diagnosing or treating practitioners, all other",3270,32003.0588,30296.2293,1706.8295
29-2011,Medical and Clinical Laboratory Technologists,3300,Clinical laboratory technologists and technicians,3300,308980.1788,231616.9001,77363.2787
29-2012,Medical and Clinical Laboratory Technicians,3300,Clinical laboratory technologists and technicians,3300,308980.1788,231616.9001,77363.2787
29-2031,Cardiovascular Technologists and Technicians,3321,Cardiovascular technologists and technicians,3321,62932.9568,48344.8512,14588.105599999999
29-2032,Diagnostic Medical Sonographers,3322,Diagnostic medical sonographers,3322,157312.1153,154611.7904,2700.3249
29-2033,Nuclear Medicine Technologists,3330,Nuclear medicine technologists and medical dosimetrists,3330,44894.5004,41008.2991,3886.2013
29-2034,Radiologic Technologists and Technicians,3323,Radiologic technologists and technicians,3323,237480.92570000002,208550.8164,28930.1093
29-2035,Magnetic Resonance Imaging Technologists,3324,Magnetic resonance imaging technologists,3324,68434.811,59450.5791,8984.231899999999
29-2036,Medical Dosimetrists,3330,Nuclear medicine technologists and medical dosimetrists,3330,44894.5004,41008.2991,3886.2013
29-2042,Emergency Medical Technicians,3401,Emergency medical technicians,3401,142747.4631,142747.4631,0.0
29-2043,Paramedics,3402,Paramedics,3402,122002.1414,93210.6654,28791.476
29-2051,Dietetic Technicians,3430,Dietetic technicians and ophthalmic medical technicians,3430,50158.3217,49548.1753,610.1464
29-2052,Pharmacy Technicians,3421,Pharmacy technicians,3421,333149.0984,291159.4439,41989.6545
29-2053,Psychiatric Technicians,3422,Psychiatric technicians,3422,138540.0974,114267.317,24272.7804
29-2055,Surgical Technologists,3423,Surgical technologists,3423,108024.3641,90754.5686,17269.7955
29-2056,Veterinary Technologists and Technicians,3424,Veterinary technologists and technicians,3424,104664.3559,104385.4243,278.9316
29-2057,Ophthalmic Medical Technicians,3430,Dietetic technicians and ophthalmic medical technicians,3430,50158.3217,49548.1753,610.1464
29-2061,Licensed Practical and Licensed Vocational Nurses,3500,Licensed practical and licensed vocational nurses,3500,597611.7101,509586.8581,88024.852
29-2072,Medical Records Specialists,3515,Medical records specialists,3515,127502.2862,127502.2862,0.0
29-2081,"Opticians, Dispensing",3520,"Opticians, dispensing",3520,43340.499200000006,36886.231100000005,6454.2681
29-2091,Orthotists and Prosthetists,3545,Miscellaneous health technologists and technicians,3545,136314.4192,124839.7763,11474.642899999999
29-2092,Hearing Aid Specialists,3545,Miscellaneous health technologists and technicians,3545,136314.4192,124839.7763,11474.642899999999
29-2099,"Health Technologists and Technicians, All Other",3545,Miscellaneous health technologists and technicians,3545,136314.4192,124839.7763,11474.642899999999
29-9021,Health Information Technologists and Medical Registrars,3550,Other healthcare practitioners and technical occupations,3550,149117.1483,142482.987,6634.1613
29-9091,Athletic Trainers,3550,Other healthcare practitioners and technical occupations,3550,149117.1483,142482.987,6634.1613
29-9092,Genetic Counselors,3550,Other healthcare practitioners and technical occupations,3550,149117.1483,142482.987,6634.1613
29-9093,Surgical Assistants,3550,Other healthcare practitioners and technical occupations,3550,149117.1483,142482.987,6634.1613
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3550,Other healthcare practitioners and technical occupations,3550,149117.1483,142482.987,6634.1613
31-1121,Home Health Aides,3601,Home health aides,3601,763017.4849,404540.5238,358476.9611
31-1122,Personal Care Aides,3602,Personal care aides,3602,1985571.1971,1539123.9996,446447.1975
31-1131,Nursing Assistants,3603,Nursing assistants,3603,1500620.2243,1183883.9579999999,316736.2663
31-1132,Orderlies,3605,Orderlies and psychiatric aides,3605,63761.341700000004,55441.9493,8319.3924
31-1133,Psychiatric Aides,3605,Orderlies and psychiatric aides,3605,63761.341700000004,55441.9493,8319.3924
31-2011,Occupational Therapy Assistants,3610,Occupational therapy assistants and aides,3610,60402.1538,60402.1538,0.0
31-2012,Occupational Therapy Aides,3610,Occupational therapy assistants and aides,3610,60402.1538,60402.1538,0.0
31-2021,Physical Therapist Assistants,3620,Physical therapist assistants and aides,3620,132218.79200000002,122941.0898,9277.7022
31-2022,Physical Therapist Aides,3620,Physical therapist assistants and aides,3620,132218.79200000002,122941.0898,9277.7022
31-9011,Massage Therapists,3630,Massage therapists,3630,191986.0877,131920.666,60065.4217
31-9091,Dental Assistants,3640,Dental assistants,3640,245769.5588,194399.355,51370.2038
31-9092,Medical Assistants,3645,Medical assistants,3645,670646.3257,577092.6668,93553.6589
31-9093,Medical Equipment Preparers,3655,Other healthcare support workers,3655,278419.865,226889.7846,51530.0804
31-9094,Medical Transcriptionists,3646,Medical transcriptionists,3646,55823.902200000004,55823.902200000004,0.0
31-9095,Pharmacy Aides,3647,Pharmacy aides,3647,39258.5651,29919.0748,9339.4903
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,3648,Veterinary assistants and laboratory animal caretakers,3648,44411.330500000004,37233.4729,7177.8576
31-9097,Phlebotomists,3649,Phlebotomists,3649,115710.01950000001,71510.3938,44199.625700000004
31-9099,"Healthcare Support Workers, All Other",3655,Other healthcare support workers,3655,278419.865,226889.7846,51530.0804
33-1011,First-Line Supervisors of Correctional Officers,3700,First-line supervisors of correctional officers,3700,66317.1689,66317.1689,0.0
33-1012,First-Line Supervisors of Police and Detectives,3710,First-line supervisors of police and detectives,3710,96900.173,92239.8398,4660.3332
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,3720,First-line supervisors of firefighting and prevention workers,3720,38748.033200000005,38748.033200000005,0.0
33-1091,First-Line Supervisors of Security Workers,3725,First-line supervisors of security workers,3725,81600.5463,74766.0889,6834.457399999999
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",3735,"First-line supervisors of protective service workers, all other",,,,
33-2011,Firefighters,3740,Firefighters,3740,365342.20310000004,365342.20310000004,0.0
33-2021,Fire Inspectors and Investigators,3750,Fire inspectors ,3750,30079.5938,30079.5938,0.0
33-2022,Forest Fire Inspectors and Prevention Specialists,3750,Fire inspectors ,3750,30079.5938,30079.5938,0.0
33-3011,Bailiffs,3801,Bailiffs,3801,15066.2388,15066.2388,0.0
33-3012,Correctional Officers and Jailers,3802,Correctional officers and jailers,3802,312128.7025,288077.1702,24051.5323
33-3021,Detectives and Criminal Investigators,3820,Detectives and criminal investigators,3820,128903.10740000001,109322.6379,19580.4695
33-3031,Fish and Game Wardens,3830,Fish and game wardens,,,,
33-3041,Parking Enforcement Workers,3840,Parking enforcement workers,3840,23841.3877,23841.3877,0.0
33-3051,Police and Sheriff’s Patrol Officers,3870,Police officers,3870,646248.4909,626272.3864,19976.1045
33-3052,Transit and Railroad Police,3870,Police officers,3870,646248.4909,626272.3864,19976.1045
33-9011,Animal Control Workers,3900,Animal control workers,3900,12148.635900000001,12148.635900000001,0.0
33-9021,Private Detectives and Investigators,3910,Private detectives and investigators,3910,189958.1527,151638.7427,38319.409999999996
33-9031,Gambling Surveillance Officers and Gambling Investigators,3930,Security guards and gambling surveillance officers,3930,1070393.9453,940189.1708000001,130204.7745
33-9032,Security Guards,3930,Security guards and gambling surveillance officers,3930,1070393.9453,940189.1708000001,130204.7745
33-9091,Crossing Guards and Flaggers,3940,Crossing guards and flaggers,3940,51937.230299999996,43149.4381,8787.7922
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",3960,Other protective service workers,3960,258404.5645,258404.5645,0.0
33-9093,Transportation Security Screeners,3945,Transportation security screeners,3945,92586.0454,83323.3659,9262.6795
33-9094,School Bus Monitors,3946,School bus monitors,3946,33279.5143,33279.5143,0.0
33-9099,"Protective Service Workers, All Other",3960,Other protective service workers,3960,258404.5645,258404.5645,0.0
35-1011,Chefs and Head Cooks,4000,Chefs and head cooks,4000,530674.6475,310809.6191,219865.0284
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,4010,First-line supervisors of food preparation and serving workers,4010,540023.158,490215.5211,49807.6369
35-2011,"Cooks, Fast Food",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2012,"Cooks, Institution and Cafeteria",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2013,"Cooks, Private Household",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2014,"Cooks, Restaurant",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2015,"Cooks, Short Order",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2019,"Cooks, All Other",4020,Cooks,4020,2273352.3985,1574545.3744,698807.0241
35-2021,Food Preparation Workers,4030,Food preparation workers,4030,1071744.3728,759425.2284,312319.1444
35-3011,Bartenders,4040,Bartenders,4040,474917.50210000004,424681.7199,50235.7822
35-3023,Fast Food and Counter Workers,4055,Fast food and counter workers,4055,1091949.636,981647.5467000001,110302.08929999999
35-3031,Waiters and Waitresses,4110,Waiters and waitresses,4110,1801248.4273,1428385.1401,372863.2872
35-3041,"Food Servers, Nonrestaurant",4120,"Food servers, nonrestaurant",4120,333479.179,286997.1059,46482.073099999994
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,4130,Dining room and cafeteria attendants and bartender helpers,4130,306530.5545,197568.9721,108961.5824
35-9021,Dishwashers,4140,Dishwashers,4140,232470.418,163462.8935,69007.5245
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",4150,387693.2967,341517.213,46176.0837
35-9099,"Food Preparation and Serving Related Workers, All Other",4160,"Food preparation and serving related workers, all other",4160,5619.6945,0.0,5619.6945
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,4200,First-line supervisors of housekeeping and janitorial workers,4200,354057.60219999996,238680.9479,115376.6543
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4210,339187.4278,245237.24,93950.1878
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4220,Janitors and building cleaners,4220,2362100.5272,1552729.0584,809371.4688
37-2012,Maids and Housekeeping Cleaners,4230,Maids and housekeeping cleaners,4230,1555034.5113,643776.9215,911257.5898
37-2019,"Building Cleaning Workers, All Other",4220,Janitors and building cleaners,4220,2362100.5272,1552729.0584,809371.4688
37-2021,Pest Control Workers,4240,Pest control workers,4240,104922.1812,91930.1768,12992.0044
37-3011,Landscaping and Groundskeeping Workers,4251,Landscaping and groundskeeping workers,4251,1313507.3786,805733.2088,507774.16980000003
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",4255,Other grounds maintenance workers,4255,32605.5803,32605.5803,0.0
37-3013,Tree Trimmers and Pruners,4252,Tree trimmers and pruners,4252,104389.311,74380.6645,30008.646500000003
37-3019,"Grounds Maintenance Workers, All Other",4255,Other grounds maintenance workers,4255,32605.5803,32605.5803,0.0
39-1013,First-Line Supervisors of Gambling Services Workers,4330,Supervisors of personal care and service workers,4330,25700.0236,19909.0607,5790.9629
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",4330,Supervisors of personal care and service workers,4330,25700.0236,19909.0607,5790.9629
39-1022,First-Line Supervisors of Personal Service Workers,4330,Supervisors of personal care and service workers,4330,25700.0236,19909.0607,5790.9629
39-2011,Animal Trainers,4340,Animal trainers,4340,80457.8121,65669.4715,14788.3406
39-2021,Animal Caretakers,4350,Animal caretakers,4350,425459.6537,413145.038,12314.6157
39-3011,Gambling Dealers,4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3012,Gambling and Sports Book Writers and Runners,4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3019,"Gambling Service Workers, All Other",4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3021,Motion Picture Projectionists,4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",4420,"Ushers, lobby attendants, and ticket takers",4420,51399.7887,37363.551699999996,14036.237
39-3091,Amusement and Recreation Attendants,4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3092,Costume Attendants,4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-3099,"Entertainment Attendants and Related Workers, All Other",4435,Other entertainment attendants and related workers,4435,258744.596,250333.7468,8410.8492
39-4011,Embalmers,4461,"Embalmers, crematory operators and funeral attendants",4461,17175.572399999997,17175.572399999997,0.0
39-4012,Crematory Operators,4461,"Embalmers, crematory operators and funeral attendants",4461,17175.572399999997,17175.572399999997,0.0
39-4021,Funeral Attendants,4461,"Embalmers, crematory operators and funeral attendants",4461,17175.572399999997,17175.572399999997,0.0
39-4031,"Morticians, Undertakers, and Funeral Arrangers",4465,"Morticians, undertakers, and funeral arrangers",4465,58714.239499999996,58714.239499999996,0.0
39-5011,Barbers,4500,Barbers,4500,133202.0899,109615.0989,23586.990999999998
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",4510,"Hairdressers, hairstylists, and cosmetologists",4510,762993.3877999999,626526.933,136466.4548
39-5091,"Makeup Artists, Theatrical and Performance",4525,Other personal appearance workers,4525,24597.987399999998,18201.8073,6396.1801
39-5092,Manicurists and Pedicurists,4521,Manicurists and pedicurists,4521,278314.3806,82954.7399,195359.6407
39-5093,Shampooers,4525,Other personal appearance workers,4525,24597.987399999998,18201.8073,6396.1801
39-5094,Skincare Specialists,4522,Skincare specialists,4522,117276.7286,93479.6353,23797.0933
39-6011,Baggage Porters and Bellhops,4530,"Baggage porters, bellhops, and concierges",4530,75304.1505,60909.3674,14394.7831
39-6012,Concierges,4530,"Baggage porters, bellhops, and concierges",4530,75304.1505,60909.3674,14394.7831
39-7011,Tour Guides and Escorts,4540,Tour and travel guides,4540,75271.5973,75271.5973,0.0
39-7012,Travel Guides,4540,Tour and travel guides,4540,75271.5973,75271.5973,0.0
39-9011,Childcare Workers,4600,Childcare workers,4600,1121113.0559999999,753782.6904,367330.3656
39-9031,Exercise Trainers and Group Fitness Instructors,4621,Exercise trainers and group fitness instructors,4621,289761.7427,251635.7063,38126.0364
39-9032,Recreation Workers,4622,Recreation workers,4622,141424.6473,132616.9426,8807.7047
39-9041,Residential Advisors,4640,Residential advisors,4640,41944.6583,41944.6583,0.0
39-9099,"Personal Care and Service Workers, All Other",4655,"Personal care and service workers, all other",4655,158044.0252,128570.1786,29473.8466
41-1011,First-Line Supervisors of Retail Sales Workers,4700,First-Line supervisors of retail sales workers,4700,3155296.8926,2667537.0836,487759.809
41-1012,First-Line Supervisors of Non-Retail Sales Workers,4710,First-Line supervisors of non-retail sales workers,4710,1059764.5639,862050.5447,197714.0192
41-2011,Cashiers,4720,Cashiers,4720,2837675.0272,2439068.946,398606.0812
41-2012,Gambling Change Persons and Booth Cashiers,4720,Cashiers,4720,2837675.0272,2439068.946,398606.0812
41-2021,Counter and Rental Clerks,4740,Counter and rental clerks,4740,71152.8186,71152.8186,0.0
41-2022,Parts Salespersons,4750,Parts salespersons,4750,141451.46169999999,115877.8198,25573.6419
41-2031,Retail Salespersons,4760,Retail salespersons,4760,2779446.5804000003,2443838.674,335607.9064
41-3011,Advertising Sales Agents,4800,Advertising sales agents,4800,149879.9996,130400.2112,19479.7884
41-3021,Insurance Sales Agents,4810,Insurance sales agents,4810,656318.8417,529518.2588,126800.58290000001
41-3031,"Securities, Commodities, and Financial Services Sales Agents",4820,"Securities, commodities, and financial services sales agents",4820,185527.88270000002,168689.8769,16838.0058
41-3041,Travel Agents,4830,Travel agents,4830,82324.10269999999,77911.26849999999,4412.8342
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",4840,"Sales representatives of services, except advertising, insurance, financial services, and travel",4840,594692.8277,498335.0899,96357.7378
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4850,"Sales representatives, wholesale and manufacturing",4850,1103120.3050000002,964531.5306,138588.7744
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4850,"Sales representatives, wholesale and manufacturing",4850,1103120.3050000002,964531.5306,138588.7744
41-9011,Demonstrators and Product Promoters,4900,"Models, demonstrators, and product promoters",4900,33377.2103,33377.2103,0.0
41-9012,Models,4900,"Models, demonstrators, and product promoters",4900,33377.2103,33377.2103,0.0
41-9021,Real Estate Brokers,4920,Real estate brokers and sales agents,4920,1128809.2298,921653.6028,207155.627
41-9022,Real Estate Sales Agents,4920,Real estate brokers and sales agents,4920,1128809.2298,921653.6028,207155.627
41-9031,Sales Engineers,4930,Sales engineers,4930,49375.7061,49375.7061,0.0
41-9041,Telemarketers,4940,Telemarketers,4940,33890.0629,31623.7234,2266.3395
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4950,"Door-to-door sales workers, news and street vendors, and related workers",4950,284512.7024,231297.2567,53215.4457
41-9099,"Sales and Related Workers, All Other",4965,"Sales and related workers, all other",4965,471676.0427,377351.1434,94324.8993
43-1011,First-Line Supervisors of Office and Administrative Support Workers,5000,First-Line supervisors of office and administrative support workers,5000,1391855.5754,1249640.8784999999,142214.6969
43-2011,"Switchboard Operators, Including Answering Service",5010,"Switchboard operators, including answering service",5010,5303.6525,5303.6525,0.0
43-2021,Telephone Operators,5020,Telephone operators,5020,41556.052599999995,32316.2745,9239.7781
43-2099,"Communications Equipment Operators, All Other",5040,"Communications equipment operators, all other",,,,
43-3011,Bill and Account Collectors,5100,Bill and account collectors,5100,96917.3239,85701.2991,11216.0248
43-3021,Billing and Posting Clerks,5110,Billing and posting clerks,5110,367209.8125,314254.3094,52955.5031
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",5120,"Bookkeeping, accounting, and auditing clerks",5120,1223282.2234999998,1043397.8907999999,179884.3327
43-3041,Gambling Cage Workers,5130,Gambling cage workers,,,,
43-3051,Payroll and Timekeeping Clerks,5140,Payroll and timekeeping clerks,5140,182574.71550000002,170190.9641,12383.7514
43-3061,Procurement Clerks,5150,Procurement clerks,5150,40077.5639,35158.7525,4918.8114
43-3071,Tellers,5160,Tellers,5160,204785.8687,188340.2033,16445.665399999998
43-3099,"Financial Clerks, All Other",5165,"Financial clerks, all other",5165,124379.5435,106587.3084,17792.235099999998
43-4011,Brokerage Clerks,5200,Brokerage clerks,,,,
